card_name,f1,f1_sig_strike_per,f1_sig_strike_total,f1_td_attempt,f1_td_succeed,f2,f2_sig_strike_per,f2_sig_strike_total,f2_td_attempt,f2_td_succeed,fights_location,round_format,round_fought,weight_class,winner,winning_method,fight_year,SApM_f1,SLpM_f1,height_f1,reach_f1,stance_f1,strAcc_f1,strDef_f1,subAvg_f1,tdAcc_f1,tdAvg_f1,tdDef_f1,weight_f1,born_year_f1,win_f1,lose_f1,draw_f1,nc_f1,SApM_f2,SLpM_f2,height_f2,reach_f2,stance_f2,strAcc_f2,strDef_f2,subAvg_f2,tdAcc_f2,tdAvg_f2,tdDef_f2,weight_f2,born_year_f2,win_f2,lose_f2,draw_f2,nc_f2,f1_age_when_fight,f2_age_when_fight
UFC 289: Nunes vs. Aldana,Diana Belbita,0.5,208.0,2.0,1.0,Maria Oliveira,0.38,168.0,5.0,2.0,"Vancouver, British Columbia, Canada",3.0,3.0,Women's Strawweight,1.0,U-DEC,2023.0,6.55,6.45,170.18,68.0,Orthodox,0.41,0.51,0.0,0.62,0.86,0.64,125,1996,15,10,0,0,5.76,5.03,167.64000000000001,69.0,Orthodox,0.38,0.44,0.0,0.44,0.95,0.47,115.0,1996.0,13.0,7.0,0.0,0.0,27.0,27.0
UFC Fight Night: Holloway vs. Allen,Denise Gomes,0.68,22.0,1.0,0.0,Bruna Brasil,0.58,93.0,3.0,3.0,"Kansas City, Missouri, USA",3.0,2.0,Women's Strawweight,1.0,KO/TKO,2023.0,3.04,4.59,157.48000000000002,63.0,Orthodox,0.5,0.51,0.8,0.36,1.19,0.67,115,1999,11,3,0,0,4.14,2.77,167.64000000000001,65.0,Orthodox,0.59,0.48,0.0,0.66,1.55,0.54,115.0,1993.0,10.0,5.0,1.0,0.0,24.0,30.0
UFC Fight Night: Holloway vs. Allen,Daniel Zellhuber,0.56,91.0,3.0,0.0,Lando Vannata,0.37,207.0,1.0,0.0,"Kansas City, Missouri, USA",3.0,3.0,Lightweight,1.0,U-DEC,2023.0,5.91,5.83,185.42,77.0,Switch,0.39,0.56,0.1,0.25,0.15,0.94,155,1999,15,3,0,0,4.76,4.52,175.26,71.0,Orthodox,0.45,0.55,0.3,0.37,1.09,0.69,155.0,1992.0,12.0,7.0,2.0,0.0,24.0,31.0
UFC Fight Night: Holloway vs. Allen,Ion Cutelaba,0.31,16.0,0.0,0.0,Tanner Boser,0.75,40.0,1.0,1.0,"Kansas City, Missouri, USA",3.0,1.0,Light Heavyweight,1.0,KO/TKO,2023.0,3.34,4.26,185.42,75.0,Southpaw,0.43,0.47,0.1,0.49,3.77,0.75,205,1993,19,11,1,1,2.75,4.7,187.96,75.0,Orthodox,0.52,0.58,0.0,0.0,0.0,0.63,205.0,1991.0,21.0,10.0,1.0,0.0,30.0,32.0
UFC Fight Night: Holloway vs. Allen,Dustin Jacoby,0.48,131.0,6.0,1.0,Azamat Murzakanov,0.52,127.0,5.0,1.0,"Kansas City, Missouri, USA",3.0,3.0,Light Heavyweight,0.0,U-DEC,2023.0,4.02,5.37,190.5,76.0,Orthodox,0.47,0.57,0.0,0.25,0.33,0.62,205,1988,21,9,1,0,2.86,4.93,177.8,71.0,Southpaw,0.57,0.61,0.0,0.15,0.58,0.83,205.0,1989.0,15.0,0.0,0.0,0.0,35.0,34.0
UFC Fight Night: Holloway vs. Allen,Billy Quarantillo,0.63,33.0,0.0,0.0,Edson Barboza,0.45,42.0,2.0,0.0,"Kansas City, Missouri, USA",3.0,1.0,Featherweight,0.0,KO/TKO,2023.0,5.83,7.44,177.8,70.0,Orthodox,0.54,0.42,1.0,0.24,1.47,0.61,145,1988,18,7,0,0,4.65,4.11,180.34,75.0,Orthodox,0.44,0.56,0.1,0.5,0.45,0.72,155.0,1986.0,24.0,12.0,0.0,0.0,35.0,37.0
UFC Fight Night: Holloway vs. Allen,Arnold Allen,0.56,262.0,0.0,0.0,Max Holloway,0.33,225.0,0.0,0.0,"Kansas City, Missouri, USA",5.0,5.0,Featherweight,0.0,U-DEC,2023.0,2.88,3.45,172.72,70.0,Southpaw,0.41,0.61,0.3,0.47,0.93,0.75,145,1994,20,3,0,0,4.74,7.2,180.34,69.0,Orthodox,0.48,0.59,0.3,0.53,0.24,0.83,145.0,1991.0,27.0,8.0,0.0,0.0,29.0,32.0
UFC 291: Poirier vs. Gaethje 2,Matthew Semelsberger,0.43,120.0,2.0,0.0,Uros Medic,0.53,128.0,1.0,1.0,"Salt Lake City, Utah, USA",3.0,3.0,Welterweight,0.0,KO/TKO,2023.0,4.24,3.77,185.42,75.0,Switch,0.42,0.54,0.4,0.57,1.01,0.45,170,1992,11,8,0,0,3.46,5.49,185.42,71.0,Southpaw,0.6,0.56,0.0,0.5,0.37,0.55,170.0,1993.0,10.0,3.0,0.0,0.0,31.0,30.0
UFC 291: Poirier vs. Gaethje 2,Jake Matthews,0.59,101.0,1.0,0.0,Darrius Flowers,0.56,64.0,3.0,1.0,"Salt Lake City, Utah, USA",3.0,2.0,Welterweight,1.0,SUB,2023.0,2.63,3.44,180.34,73.0,Orthodox,0.43,0.6,0.6,0.42,1.51,0.67,170,1994,22,7,0,0,5.49,3.07,175.26,71.0,Orthodox,0.49,0.44,0.0,0.28,0.98,0.63,155.0,1994.0,12.0,8.0,1.0,0.0,29.0,29.0
UFC 291: Poirier vs. Gaethje 2,Roman Kopylov,0.76,42.0,0.0,0.0,Claudio Ribeiro,0.54,59.0,1.0,0.0,"Salt Lake City, Utah, USA",3.0,2.0,Middleweight,1.0,KO/TKO,2023.0,5.08,4.74,182.88,75.0,Southpaw,0.5,0.53,0.0,0.42,1.02,0.87,185,1991,14,4,0,0,4.9,3.59,185.42,77.0,Orthodox,0.51,0.3,0.0,0.5,0.56,0.66,185.0,1992.0,11.0,5.0,0.0,0.0,32.0,31.0
